mean_overlapping_bboxes,class_acc,loss_rpn_cls,loss_rpn_regr,loss_class_cls,loss_class_regr,curr_loss,elapsed_time,mAP
28.66,0.485,5.181,0.102,2.477,0.442,8.202,7.0539999999999985,0.0
30.5,0.5,3.519,0.076,2.238,0.465,6.297999999999999,7.025,0.0
26.471,0.5,2.106,0.078,2.056,0.44,4.68,6.994,0.0
34.98,0.5,1.632,0.076,2.107,0.48,4.295,7.113,0.0
42.26,0.5,0.8959999999999999,0.065,1.939,0.42,3.32,7.096,0.0
44.98,0.5,0.71,0.069,1.936,0.45,3.164,7.0920000000000005,0.0
46.44,0.5,0.623,0.061,1.925,0.47,3.0780000000000003,7.0120000000000005,0.0
49.0,0.5,0.31,0.058,1.927,0.424,2.718,6.56,0.0
48.44,0.5,0.463,0.054000000000000006,1.866,0.446,2.83,6.5539999999999985,0.0
51.16,0.5,0.29600000000000004,0.055,1.763,0.464,2.577,6.539,0.0
50.48,0.505,0.335,0.055,1.7919999999999998,0.429,2.612,6.5710000000000015,0.0
49.46,0.515,0.285,0.055,1.642,0.419,2.401,6.547999999999999,0.0
49.02,0.555,0.338,0.05,1.493,0.418,2.3,6.6,0.0
48.84,0.595,0.326,0.049,1.344,0.438,2.157,6.484,0.0
49.28,0.555,0.501,0.043,1.366,0.418,2.327,7.326,0.0
46.22,0.565,0.295,0.042,1.39,0.431,2.158,7.0120000000000005,0.0
47.72,0.605,0.258,0.042,1.2770000000000001,0.395,1.973,6.596,0.0
48.8,0.63,0.16899999999999998,0.038,1.337,0.409,1.954,6.517,0.0
48.64,0.615,0.237,0.037000000000000005,1.254,0.348,1.876,6.674,0.0
48.86,0.625,0.218,0.034,1.278,0.379,1.91,6.481,0.0
52.76,0.5,0.26899999999999996,0.057,2.356,0.47700000000000004,3.159,6.4479999999999995,0.0
53.86,0.5,0.297,0.054000000000000006,2.101,0.42100000000000004,2.872,6.485,0.0
47.34,0.63,0.334,0.036000000000000004,1.242,0.399,2.01,6.249,0.0
49.52,0.62,0.13699999999999998,0.038,1.3630000000000002,0.349,1.886,6.38,0.0
48.16,0.61,0.11599999999999999,0.036000000000000004,1.3119999999999998,0.33799999999999997,1.8030000000000002,9.695,0.0
48.28,0.65,0.11599999999999999,0.036000000000000004,1.262,0.38299999999999995,1.797,7.596,0.0
47.24,0.645,0.216,0.036,1.216,0.391,1.859,7.19,0.0
46.88,0.64,0.173,0.032,1.232,0.34,1.778,6.928,0.0
